ModuleCode,Marks
ACC4028-N,0
BIN3020-N,0
BIN3022-N,0
CIS1001-N,0
CRI1014-N,0
EDU1171-N,0
EDU1176-N,0
FPL1001-N,0
GAV1005-N,0
MMD1000-N,0
ACC4026-N,1
BIN3025-N,7
ACC4027-N,26
FPL1016-N,28.5
CIS0003-N,29.2
COM3041-N,30.1
MFP2024-N,33.4
COM3065-N,35
MFP2017-N,35.6
GAV1007-N,36.5
FPL1004-N,39
CIS1013-N,39.3
CAM1001-N,39.5
GAV0005-N,39.5
COM3050-N,41.5
CAM4037-N,42.1
GAV4037-N,43.6
MUL3061-N,44.2
CIS4012-N,44.3
GAV0004-N,44.8
CAM1000-N,45
FAE2014-N,45
CAM4039-N,45.2
CAM1008-N,45.3
EDU1049-N,45.8
CIS2009-N,45.9
GAV4038-N,46
GAV1012-N,46.3
CIS4023-N,46.7
MFP2019-N,46.9
GAV2016-N,47
DES2193-N,47.1
CIS2016-N,47.3
DES1210-N,48
FAE2016-N,48.4
CAM1002-N,48.8
CIS1018-N,48.8
CIS0005-N,49.2
GAV1009-N,49.3
CIS4040-N,49.4
COM3064-N,49.4
GAV0003-N,49.4
GAV3012-N,49.5
GAV4003-N,49.5
GAV2004-N,49.6
MFP2007-N,49.6
COM3047-N,49.8
CIS0002-N,49.9
GAV2008-N,50.3
GAV0002-N,50.5
VIS3110-N,50.5
CIS1005-N,50.6
CIS4021-N,51.1
GAV2025-N,51.1
MED3020-N,51.2
CIS4022-N,51.4
GAV2005-N,51.5
GAV1004-N,51.6
GAV1001-N,51.7
MUL3059-N,51.7
GAV0001-N,52
GAV2027-N,52
DES4032-N,52.1
CIS4008-N,52.4
CIS2018-N,52.7
CAM0001-N,52.8
MED3036-N,52.8
EDU1074-N,52.9
CAM1011-N,53
CAM4036-N,53.2
CIS2014-N,53.2
CIS4037-N,53.2
COM3037-N,53.3
CIS2021-N,53.4
CAM1020-N,53.6
CIS1007-N,53.6
MFP2026-N,53.8
FAE3013-N,54.1
CAM4057-N,54.2
GAV2003-N,54.2
GAV4033-N,54.2
CAM1018-N,54.5
CIS1009-N,54.5
CAM4040-N,54.8
GAV4034-N,54.8
CBE1039-N,55
COM3036-N,55
DES1224-N,55
DES4031-N,55
GAV2007-N,55
GAV2038-N,55
CIS2001-N,55.1
CIS2019-N,55.1
COM3067-N,55.2
FAE3010-N,55.2
GAV1006-N,55.3
GAV2021-N,55.4
GAV2028-N,55.4
CAM1012-N,55.5
CAM4063-N,55.5
GAV2022-N,55.7
CIS4010-N,55.8
GAV3009-N,55.8
CIS2015-N,55.9
PER3018-N,55.9
MED3055-N,56
GAV2002-N,56.1
CAM4016-N,56.3
CAM1030-N,56.5
GAV4017-N,56.7
PER3008-N,56.8
HIS1040-N,57
CIS1019-N,57.4
CAM2040-N,57.5
CAM4042-N,57.5
CIS4027-N,57.5
GAV2010-N,57.6
CAM4062-N,57.7
GAV1013-N,57.8
DES1217-N,58
HIS1038-N,58
COM3042-N,58.2
CAM1036-N,58.3
COM3038-N,58.3
GAV1033-N,58.3
GAV4028-N,58.3
COM3040-N,58.5
CAM1022-N,58.6
CIS2026-N,58.8
MED3007-N,58.8
GAV1003-N,58.9
GAV1002-N,59.1
GAV2011-N,59.1
MED3040-N,59.1
CIS2017-N,59.3
GAV2029-N,59.3
VIS4060-N,59.3
DES2188-N,59.4
VIS3105-N,59.4
VIS3104-N,59.7
CAM4061-N,59.8
GAV3003-N,59.9
MED3030-N,60
VIS4073-N,60
MFP2006-N,60.3
CIS4009-N,60.5
GAV2017-N,60.8
MUL3055-N,60.8
DES2187-N,60.9
MPR3002-N,61.1
MED3051-N,61.3
CAM4017-N,61.4
PER3012-N,61.5
CAM1035-N,61.8
DES1225-N,62
CAM1027-N,62.5
DES3095-N,62.9
MFP2027-N,62.9
CBE1040-N,63
CAM1031-N,63.4
DES1219-N,64
PER3025-N,64
CAM0002-N,64.1
PER3028-N,64.1
CAM1009-N,64.5
GAV4002-N,64.5
GAV3020-N,64.9
DES4016-N,65
MUL3051-N,65
GAV3010-N,65.1
MED3050-N,65.4
GAV1030-N,66
GAV3021-N,66.1
GAV4018-N,66.3
GAV2015-N,66.4
DES3096-N,66.5
CAM2039-N,66.6
CAM1016-N,66.7
MUL3060-N,67.2
MUL3063-N,67.2
MFP2028-N,67.5
MED3047-N,68.3
MUL3064-N,68.5
MFP2001-N,69
VIS3103-N,69.8
VIS4059-N,69.8
VIS3108-N,71.4
COM3046-N,72.1
GAV4020-N,72.1
VIS3109-N,72.4
COM4077-N,74
COM4083-N,75
ECO0002-N,76
GAV4024-N,77
CIS1020-N,85
